2026-04-17 15:41:50 - === Session Started - Malpractice Detection Log ===
2026-04-17 15:42:28 - [2026-04-17 15:42:28] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:28 - [2026-04-17 15:42:28] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:28 - [2026-04-17 15:42:28] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:28 - [2026-04-17 15:42:28] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:28 - [2026-04-17 15:42:28] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:29 - [2026-04-17 15:42:29] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:29 - [2026-04-17 15:42:29] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:29 - [2026-04-17 15:42:29] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:29 - [2026-04-17 15:42:29] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:29 - [2026-04-17 15:42:29] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:29 - [2026-04-17 15:42:29] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:29 - [2026-04-17 15:42:29] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:30 - [2026-04-17 15:42:30] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:30 - [2026-04-17 15:42:30] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:30 - [2026-04-17 15:42:30] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:30 - [2026-04-17 15:42:30] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:30 - [2026-04-17 15:42:30] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:31 - [2026-04-17 15:42:31] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:31 - [2026-04-17 15:42:31] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:31 - [2026-04-17 15:42:31] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:31 - [2026-04-17 15:42:31] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:31 - [2026-04-17 15:42:31] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:31 - [2026-04-17 15:42:31] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:31 - [2026-04-17 15:42:31] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:32 - [2026-04-17 15:42:32] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:32 - [2026-04-17 15:42:32] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:32 - [2026-04-17 15:42:32] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:32 - [2026-04-17 15:42:32] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:32 - [2026-04-17 15:42:32] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:32 - [2026-04-17 15:42:32] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:32 - [2026-04-17 15:42:32] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:32 - [2026-04-17 15:42:32] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:33 - [2026-04-17 15:42:33] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:33 - [2026-04-17 15:42:33] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:33 - [2026-04-17 15:42:33] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:33 - [2026-04-17 15:42:33] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:33 - [2026-04-17 15:42:33] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:33 - [2026-04-17 15:42:33] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:33 - [2026-04-17 15:42:33] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:34 - [2026-04-17 15:42:34] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:34 - [2026-04-17 15:42:34] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:34 - [2026-04-17 15:42:34] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.88
2026-04-17 15:42:34 - [2026-04-17 15:42:34] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:35 - [2026-04-17 15:42:35] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:35 - [2026-04-17 15:42:35] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:36 - [2026-04-17 15:42:36] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:36 - [2026-04-17 15:42:36] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:36 - [2026-04-17 15:42:36] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:36 - [2026-04-17 15:42:36] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:36 - [2026-04-17 15:42:36] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:36 - [2026-04-17 15:42:36] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:37 - [2026-04-17 15:42:37] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:37 - [2026-04-17 15:42:37] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:37 - [2026-04-17 15:42:37] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:37 - [2026-04-17 15:42:37] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:37 - [2026-04-17 15:42:37] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:37 - [2026-04-17 15:42:37] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:37 - [2026-04-17 15:42:37] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:38 - [2026-04-17 15:42:38] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:38 - [2026-04-17 15:42:38] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:38 - [2026-04-17 15:42:38] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:38 - [2026-04-17 15:42:38] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:38 - [2026-04-17 15:42:38] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:38 - [2026-04-17 15:42:38] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:38 - [2026-04-17 15:42:38] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:39 - [2026-04-17 15:42:39] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:39 - [2026-04-17 15:42:39] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:39 - [2026-04-17 15:42:39] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:42 - [2026-04-17 15:42:42] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:42 - [2026-04-17 15:42:42] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:42 - [2026-04-17 15:42:42] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:42 - [2026-04-17 15:42:42] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:42 - [2026-04-17 15:42:42] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:43 - [2026-04-17 15:42:43] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:43 - [2026-04-17 15:42:43] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:43 - [2026-04-17 15:42:43] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:43 - [2026-04-17 15:42:43] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:43 - [2026-04-17 15:42:43] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:43 - [2026-04-17 15:42:43] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:43 - [2026-04-17 15:42:43] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:44 - [2026-04-17 15:42:44] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:44 - [2026-04-17 15:42:44] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:44 - [2026-04-17 15:42:44] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:45 - [2026-04-17 15:42:45] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:46 - [2026-04-17 15:42:46] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:46 - [2026-04-17 15:42:46] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:48 - [2026-04-17 15:42:48] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:48 - [2026-04-17 15:42:48] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:48 - [2026-04-17 15:42:48] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:48 - [2026-04-17 15:42:48] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:48 - [2026-04-17 15:42:48] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:48 - [2026-04-17 15:42:48] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:49 - [2026-04-17 15:42:48] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:49 - [2026-04-17 15:42:49] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:49 - [2026-04-17 15:42:49] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:49 - [2026-04-17 15:42:49] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:49 - [2026-04-17 15:42:49] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:50 - [2026-04-17 15:42:50] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:50 - [2026-04-17 15:42:50] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.88
2026-04-17 15:42:50 - [2026-04-17 15:42:50] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:50 - [2026-04-17 15:42:50] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:50 - [2026-04-17 15:42:50] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:50 - [2026-04-17 15:42:50] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:50 - [2026-04-17 15:42:50] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:51 - [2026-04-17 15:42:51] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:51 - [2026-04-17 15:42:51] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:51 - [2026-04-17 15:42:51] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:51 - [2026-04-17 15:42:51] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:51 - [2026-04-17 15:42:51] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:51 - [2026-04-17 15:42:51] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:51 - [2026-04-17 15:42:51] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:51 - [2026-04-17 15:42:51] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:52 - [2026-04-17 15:42:52] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:52 - [2026-04-17 15:42:52] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:52 - [2026-04-17 15:42:52] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
